channel,source_channel,prn,first_raw_interval_start_sample,source_raw_interval_start_sample,code_nco_rate_chips_s,carrier_doppler_hz,residual_code_phase_chips,residual_carrier_phase_rad,code_phase_step_chips_per_sample,carrier_phase_step_rad_per_sample,code_phase_rate_step_chips_per_sample2,carrier_phase_rate_step_rad_per_sample2,dll_filter_output_chips_s,pll_fll_filter_output_hz,carrier_phase_accumulator_rad,residual_code_phase_samples,interval_length_samples
0,0,19,125002838,2375002838,1023001.5747622264,2586.359619140625,0.007190530623501461,4.209414958953857,0.04092006299048906,0.0006500230703226801,0.0,0.0,0.10469207167625427,2586.359619140625,-79563.2679961844,0.1757213967430289,25000
1,1,30,125010683,2375010683,1022998.0644622731,-3323.14453125,0.031242237503819097,-4.748897552490234,0.040919922578490926,-0.0008351973156953696,0.0,0.0,-0.22234833240509033,-3323.14453125,60466.05856328323,0.7634969847240427,25000
2,10,10,125000915,2375000915,1023000.5737707955,792.0361938476562,0.010312878973542954,3.0121829509735107,0.040920022950831816,0.00019906040703752191,0.0,0.0,-0.059461578726768494,792.0361938476562,-8447.675662982532,0.2520252490066923,25000
3,2,3,125005052,2375005052,1023000.5170526581,718.7833251953125,0.00502030846505246,4.318769931793213,0.040920020682106324,0.00018064995311651536,0.0,0.0,-0.05031023919582367,718.7833251953125,-22882.379896476574,0.12268587310973089,25000
4,3,8,125021006,2375021006,1023001.3523044001,2149.968505859375,0.004007898093418442,3.1430256366729736,0.040920054092176,0.0005403460210765802,0.0,0.0,0.04377904534339905,2149.968505859375,-51167.95335873255,0.09794459421755164,25000
5,4,16,125001390,2375001390,1022995.3750034994,-1731.984619140625,0.02967452870733984,-5.11315393447876,0.04091981500013998,-0.00043529521244981727,0.0,0.0,3.500331163406372,-1731.984619140625,58715.34938920701,0.725187264586566,25000
6,5,6,125008850,2375008850,1022999.6486678853,-568.2171630859375,0.01337114014891146,-5.371649742126465,0.04091998594671541,-0.00014280854921555348,0.0,0.0,-0.017640069127082825,-568.2171630859375,17368.49513277812,0.3267630679620197,25000
7,6,7,125020560,2375020560,1023001.1763208384,1851.016357421875,0.004198512554995751,4.006698131561279,0.04092004705283354,0.00046521115121208917,0.0,0.0,0.025637835264205933,1851.016357421875,-57549.151069092135,0.1026028281339677,25000
8,7,13,125007504,2375007504,1023001.0394767482,1802.8804931640625,0.012881429719233825,2.598651170730591,0.04092004157906993,0.00045311328900996597,0.0,0.0,0.1312248706817627,1802.8804931640625,-55768.93662202145,0.3147951278187975,25000
9,8,23,125007705,2375007705,1022999.7881960376,-479.6817321777344,0.03446019964035457,-0.8914152979850769,0.0409199915278415,-0.00012055716846966403,0.0,0.0,-0.0996776819229126,-479.6817321777344,14661.446627462325,0.8421360404463485,25000
10,9,17,125013680,2375013680,1023003.4116221623,5788.302734375,0.036253582288993697,6.097127437591553,0.04092013646488649,0.0014547591477653003,0.0,0.0,0.34701597690582275,5788.302734375,-168503.1262556655,0.8859594669265789,25000
