attack_detection_rate,clean_holdout_fpr,dataset,established_detection_rate,missing_1ms_row_rate,model,onset_delay_s,pauc_fpr_le_0p05,persistent_alarm_ratio,pr_auc,pre_onset_fpr,pull_off_delay_s,roc_auc,scenario,status,transition_detection_rate,valid_epochs,valid_prns
1.0,0.32748538011695905,TEXBAT,1.0,0.0,TRACE Full,0.09999999999999432,0.981071779744346,1.0,0.9994892602606467,0.5625,0.0,0.9925639134709932,DS3,AVAILABLE,1.0,726,4.0
1.0,0.32748538011695905,TEXBAT,1.0,0.0,no-action predictor,0.09999999999999432,0.9807645034414947,1.0,0.9994536042916741,0.5625,0.0,0.9920415437561455,DS3,AVAILABLE,1.0,726,4.0
0.995575221238938,0.30994152046783624,TEXBAT,1.0,0.0,zero-action counterfactual,0.09999999999999432,0.9728367748279252,0.995575221238938,0.9991178342468652,0.5625,0.0,0.9871865781710915,DS3,AVAILABLE,0.9802631578947368,726,4.0
1.0,0.3216374269005848,TEXBAT,1.0,0.0,wrong shifted-action negative control,0.09999999999999432,0.9807645034414947,1.0,0.9994534665851664,0.5625,0.0,0.9920415437561455,DS3,AVAILABLE,1.0,726,4.0
1.0,0.32748538011695905,TEXBAT,1.0,0.0,shuffled-action TRACE,0.09999999999999432,0.9819321533923304,1.0,0.999497796438884,0.5625,0.0,0.9926868239921338,DS3,AVAILABLE,1.0,726,4.0
0.022123893805309734,0.005847953216374269,TEXBAT,0.005703422053231939,0.0,action norm only,64.6,0.025626843657817113,0.022123893805309734,0.8332451452206867,0.22916666666666666,10.0,0.03395403146509341,DS3,AVAILABLE,0.07894736842105263,726,4.0
0.03392330383480826,0.07602339181286549,TEXBAT,0.0,0.0,complex residual norm only,0.09999999999999432,0.03416912487708948,0.03392330383480826,0.8422468136164827,0.4166666666666667,,0.05312807276302853,DS3,AVAILABLE,0.1513157894736842,726,4.0
1.0,0.32748538011695905,TEXBAT,1.0,0.0,fixed complex 9-tap detector,0.09999999999999432,0.9882005899705015,1.0,0.9995958153557057,0.5625,0.0,0.9941002949852507,DS3,AVAILABLE,1.0,726,4.0
,0.32748538011695905,TEXBAT,,0.0,TRACE Full,,,0.0,,,,,DS7,AVAILABLE,,0,
,0.32748538011695905,TEXBAT,,0.0,no-action predictor,,,0.0,,,,,DS7,AVAILABLE,,0,
,0.30994152046783624,TEXBAT,,0.0,zero-action counterfactual,,,0.0,,,,,DS7,AVAILABLE,,0,
,0.3216374269005848,TEXBAT,,0.0,wrong shifted-action negative control,,,0.0,,,,,DS7,AVAILABLE,,0,
,0.32748538011695905,TEXBAT,,0.0,shuffled-action TRACE,,,0.0,,,,,DS7,AVAILABLE,,0,
,0.005847953216374269,TEXBAT,,0.0,action norm only,,,0.0,,,,,DS7,AVAILABLE,,0,
,0.07602339181286549,TEXBAT,,0.0,complex residual norm only,,,0.0,,,,,DS7,AVAILABLE,,0,
,0.32748538011695905,TEXBAT,,0.0,fixed complex 9-tap detector,,,0.0,,,,,DS7,AVAILABLE,,0,
0.9972222222222222,0.0,OAKBAT,1.0,0.0,TRACE Full,1.0,1.0,0.9972222222222222,0.9999999999999999,0.0,0.0,1.0,OS3,AVAILABLE,0.9,770,10.0
0.9972222222222222,0.0,OAKBAT,1.0,0.0,no-action predictor,1.0,1.0,0.9972222222222222,0.9999999999999999,0.0,0.0,1.0,OS3,AVAILABLE,0.9,770,10.0
0.9972222222222222,0.0,OAKBAT,1.0,0.0,zero-action counterfactual,1.0,1.0,0.9972222222222222,0.9999999999999999,0.0,0.0,1.0,OS3,AVAILABLE,0.9,770,10.0
0.9972222222222222,0.0,OAKBAT,1.0,0.0,wrong shifted-action negative control,1.0,1.0,0.9972222222222222,0.9999999999999999,0.0,0.0,1.0,OS3,AVAILABLE,0.9,770,10.0
0.9972222222222222,0.0,OAKBAT,1.0,0.0,shuffled-action TRACE,1.0,1.0,0.9972222222222222,0.9999999999999999,0.0,0.0,1.0,OS3,AVAILABLE,0.9,770,10.0
0.9875,0.0,OAKBAT,0.9914285714285714,0.0,action norm only,1.5,0.9961111111111112,0.9875,0.9999653948960019,0.0,0.0,0.9995,OS3,AVAILABLE,0.85,770,10.0
0.9972222222222222,0.0,OAKBAT,1.0,0.0,complex residual norm only,1.0,1.0,0.9972222222222222,0.9999999999999999,0.0,0.0,1.0,OS3,AVAILABLE,0.9,770,10.0
0.9972222222222222,0.0,OAKBAT,1.0,0.0,fixed complex 9-tap detector,1.0,1.0,0.9972222222222222,0.9999999999999999,0.0,0.0,1.0,OS3,AVAILABLE,0.9,770,10.0
,0.0,OAKBAT,,0.0,TRACE Full,,,0.0,,0.0,,,OS4,AVAILABLE,,1,4.0
,0.0,OAKBAT,,0.0,no-action predictor,,,0.0,,0.0,,,OS4,AVAILABLE,,1,4.0
,0.0,OAKBAT,,0.0,zero-action counterfactual,,,0.0,,0.0,,,OS4,AVAILABLE,,1,4.0
,0.0,OAKBAT,,0.0,wrong shifted-action negative control,,,0.0,,0.0,,,OS4,AVAILABLE,,1,4.0
,0.0,OAKBAT,,0.0,shuffled-action TRACE,,,0.0,,0.0,,,OS4,AVAILABLE,,1,4.0
,0.0,OAKBAT,,0.0,action norm only,,,0.0,,0.0,,,OS4,AVAILABLE,,1,4.0
,0.0,OAKBAT,,0.0,complex residual norm only,,,0.0,,0.0,,,OS4,AVAILABLE,,1,4.0
,0.0,OAKBAT,,0.0,fixed complex 9-tap detector,,,0.0,,0.0,,,OS4,AVAILABLE,,1,4.0
,,B0,,,B0 exact,,,,,,,,all,UNAVAILABLE,,,
