channel,source_channel,prn,first_raw_interval_start_sample,source_raw_interval_start_sample,code_nco_rate_chips_s,carrier_doppler_hz,residual_code_phase_chips,residual_carrier_phase_rad,code_phase_step_chips_per_sample,carrier_phase_step_rad_per_sample,code_phase_rate_step_chips_per_sample2,carrier_phase_rate_step_rad_per_sample2,dll_filter_output_chips_s,pll_fll_filter_output_hz,carrier_phase_accumulator_rad,residual_code_phase_samples,interval_length_samples
0,0,21,150002348,150002348,1022998.2657247355,-2797.193359375,0.16149757546011154,-2.5612144470214844,0.2045996531449471,-0.0035150568433930697,0.0,0.0,-0.082084059715271,-2797.193359375,328204.74406629096,0.789334551538559,5000
1,1,27,150000296,150000296,1022998.4330616922,-2157.60791015625,0.029506872392925737,-4.60327672958374,0.20459968661233843,-0.0027113300639496464,0.0,0.0,0.16589421033859253,-2157.60791015625,119266.5698703065,0.14421758352364122,5000
2,10,11,150003604,150003604,1023001.3617401487,2222.95166015625,0.12634704378995892,3.218752145767212,0.20460027234802974,0.00279344344193285,0.0,0.0,0.08173495531082153,2222.95166015625,-248760.80752571905,0.6175311613224039,5000
3,2,24,150002952,150002952,1022998.6015760815,-2172.881103515625,0.04421881135162623,-3.195509195327759,0.20459972031521628,-0.002730522924771514,0.0,0.0,-0.012537837028503418,-2172.881103515625,242465.03333660765,0.21612351807470986,5000
4,3,20,150004781,150004781,1022999.2119757897,-819.9441528320312,0.06412418834847841,-2.624101400375366,0.20459984239515794,-0.0010303722107564087,0.0,0.0,0.255592942237854,-819.9441528320312,91209.34323065312,0.31341269669519534,5000
5,4,18,150001140,150001140,1022997.6903468666,-3798.9287109375,0.13501497202674834,-1.6742408275604248,0.2045995380693733,-0.004773874611917048,0.0,0.0,-0.1571836918592453,-3798.9287109375,331698.72836400085,0.6598987138522716,5000
6,5,14,150001421,150001421,1023001.1877973797,2154.28564453125,0.021532013475485667,5.981320858001709,0.20460023755947593,0.002707155181837337,0.0,0.0,0.21108940243721008,2154.28564453125,-188636.80040978905,0.10523943536099978,5000
7,6,12,150002938,150002938,1023001.5775552545,2466.4853515625,0.11174152236623909,4.291928768157959,0.2046003155110509,0.0030994769042622422,0.0,0.0,0.024058610200881958,2466.4853515625,-275930.373237569,0.5461454059204698,5000
8,7,8,150003995,150003995,1022999.4732665367,-1035.959228515625,0.11540846785501845,-2.750579595565796,0.20459989465330736,-0.0013018247606892978,0.0,0.0,-0.14596733450889587,-1035.959228515625,119640.88329977676,0.564069048278725,5000
9,8,25,150004458,150004458,1023001.8362147438,2681.3427734375,0.03384369774156512,5.392272472381592,0.20460036724294875,0.00336947470351494,0.0,0.0,-0.0950830727815628,2681.3427734375,-231439.17947073554,0.16541367055015144,5000
10,9,10,150002318,150002318,1023000.6581426017,1191.1141357421875,0.11507441116239242,2.333585500717163,0.20460013162852034,0.001496798167373848,0.0,0.0,0.11530813574790955,1191.1141357421875,-138226.12783640227,0.5624356653461291,5000
