channel,source_channel,prn,first_raw_interval_start_sample,source_raw_interval_start_sample,code_nco_rate_chips_s,carrier_doppler_hz,residual_code_phase_chips,residual_carrier_phase_rad,code_phase_step_chips_per_sample,carrier_phase_step_rad_per_sample,code_phase_rate_step_chips_per_sample2,carrier_phase_rate_step_rad_per_sample2,dll_filter_output_chips_s,pll_fll_filter_output_hz,carrier_phase_accumulator_rad,residual_code_phase_samples,interval_length_samples
0,0,27,25003754,475003754,1022998.5490722058,-2170.75341796875,0.01563107706296445,-0.11826138198375702,0.20459970981444114,-0.0027278491962582294,0.0,0.0,0.041347652673721313,-2170.75341796875,65992.44811904102,0.0763983344704684,5000
1,1,21,25000939,475000939,1022998.3581811744,-2819.46630859375,0.14672731784918086,-6.202428340911865,0.20459967163623488,-0.0035430458568488313,0.0,0.0,-0.18900345265865326,-2819.46630859375,86328.85580260186,0.7171434669262453,5000
2,10,11,25001161,475001161,1023001.5673476085,2188.640380859375,0.11909824340195979,0.6639729142189026,0.2046003134695217,0.002750326616743118,0.0,0.0,-0.1461525559425354,2188.640380859375,-67696.49682670656,0.5821019595832695,5000
3,2,18,25004935,475004935,1022997.7126676254,-3798.497802734375,0.11375574373704898,-4.60009241104126,0.20459954253352508,-0.004773333116698924,0.0,0.0,-0.1792246401309967,-3798.497802734375,116266.74950659153,0.5559921705025772,5000
4,3,20,25002964,475002964,1022999.4877642561,-714.4417724609375,0.17644098676034994,-2.234018087387085,0.2045998975528512,-0.0008977940095123828,0.0,0.0,0.04831251502037048,-714.4417724609375,26640.758548745853,0.8623708460791022,5000
5,4,24,25001415,475001415,1022998.4775812611,-2207.50439453125,0.10749464524316736,-1.9843000173568726,0.2045996955162522,-0.00277403183545063,0.0,0.0,0.08897432684898376,-2207.50439453125,67594.89172672358,0.5253900548186721,5000
6,5,25,25001866,475001866,1023002.0017566016,3084.8359375,0.10030871177698021,1.9262332916259766,0.20460040035132032,0.003876519167511922,0.0,0.0,0.0013836175203323364,3084.8359375,-93952.30545912162,0.4902664491601172,5000
7,6,14,25003989,475003989,1023001.0545683415,2142.096435546875,0.16230426275215082,4.2218337059021,0.20460021091366828,0.002691837770077984,0.0,0.0,0.33640336990356445,2142.096435546875,-66306.00232359667,0.793275148776047,5000
8,7,8,25002223,475002223,1022999.2574164305,-1066.5770263671875,0.15744844208660397,-0.26888978481292725,0.2045998514832861,-0.0013403002202091244,0.0,0.0,0.05000108480453491,-1066.5770263671875,33233.8498073921,0.769543286298358,5000
9,8,15,25002046,475002046,1022998.0799475465,-3094.861572265625,0.08862053619622752,-0.6080647110939026,0.2045996159895093,-0.0038891177517228264,0.0,0.0,-0.0895979180932045,-3094.861572265625,96329.85986215797,0.4331412635729066,5000
10,9,10,25000087,475000087,1023000.7498534813,1167.389404296875,0.006532917981671859,2.5785014629364014,0.20460014997069625,0.0014669847905670543,0.0,0.0,0.008191586472094059,1167.389404296875,-36240.17985746163,0.03193017200919712,5000
