channel,source_channel,prn,first_raw_interval_start_sample,source_raw_interval_start_sample,code_nco_rate_chips_s,carrier_doppler_hz,residual_code_phase_chips,residual_carrier_phase_rad,code_phase_step_chips_per_sample,carrier_phase_step_rad_per_sample,code_phase_rate_step_chips_per_sample2,carrier_phase_rate_step_rad_per_sample2,dll_filter_output_chips_s,pll_fll_filter_output_hz,carrier_phase_accumulator_rad,residual_code_phase_samples,interval_length_samples
0,0,19,750013632,750013632,1023001.7522615993,2615.008544921875,0.03082297065820036,1.0353832244873047,0.04092007009046397,0.0006572233307040893,0.0,0.0,-0.054204102605581284,2615.008544921875,-279734.7249534069,0.7532482371134392,25000
1,10,16,750006413,750006413,1022998.1530518726,-2802.906494140625,0.031740574594281167,-4.222673416137695,0.04091992612207491,-0.0007044472360553065,0.0,0.0,0.026878975331783295,-2802.906494140625,299454.5498634341,0.7756752663626685,25000
2,2,3,750013863,750013863,1023000.4713424013,764.9049682617188,0.022273247533322955,4.8268656730651855,0.040920018853696054,0.00019224158631882837,0.0,0.0,0.02534913644194603,764.9049682617188,-82301.98897144334,0.5443117612667265,25000
3,3,30,750015161,750015161,1022997.7737299902,-3323.273193359375,0.012403038066324664,-1.6831557750701904,0.04091991094919961,-0.0008352296520103782,0.0,0.0,0.06830040365457535,-3323.273193359375,108823.78402225878,0.30310520669809193,25000
4,4,13,750017465,750017465,1023001.2861480606,1833.27978515625,0.015531531369190783,4.485562801361084,0.04092005144592242,0.000460753464401725,0.0,0.0,-0.09570664167404175,1833.27978515625,-196542.52585055874,0.379557962914987,25000
5,5,6,750016289,750016289,1022999.5029498325,-524.7567138671875,0.00930839233546424,-2.856884717941284,0.0409199801179933,-0.00013188574697656647,0.0,0.0,0.15629905462265015,-524.7567138671875,55533.64844554384,0.2274779290855804,25000
6,6,7,750005556,750005556,1023001.2122748604,1851.2066650390625,0.012432634063541538,3.3574917316436768,0.04092004849099441,0.00046525898073305545,0.0,0.0,-0.010192610323429108,1851.2066650390625,-199048.3885749474,0.3038274518730759,25000
7,7,20,750007554,750007554,1022997.9183838277,-2966.743408203125,0.029708392029645328,-6.0481109619140625,0.040919916735353105,-0.0007456239437037523,0.0,0.0,0.15515941381454468,-2966.743408203125,215014.34930719502,0.7260130127287994,25000
8,8,10,750009589,750009589,1023000.0676247384,629.7662353515625,0.008931653956664884,4.42974328994751,0.040920002704989536,0.0001582775182767499,0.0,0.0,0.3413143754005432,629.7662353515625,-67994.77820920835,0.2182710988818144,25000
9,9,23,750015238,750015238,1022999.7675307769,-436.7895202636719,0.014733133488915947,-3.9298224449157715,0.040919990701231077,-0.00010977717984202918,0.0,0.0,-0.051160335540771484,-436.7895202636719,46449.23546177037,0.36004733228037367,25000
