scenario,method,status,reason
DS1,Full,UNAVAILABLE,TRACKER_ACTION_ALIGNMENT_UNRESOLVED
DS1,A0,UNAVAILABLE,TRACKER_ACTION_ALIGNMENT_UNRESOLVED
DS1,A1,UNAVAILABLE,TRACKER_ACTION_ALIGNMENT_UNRESOLVED
DS1,A2,UNAVAILABLE,TRACKER_ACTION_ALIGNMENT_UNRESOLVED
DS1,A3,UNAVAILABLE,TRACKER_ACTION_ALIGNMENT_UNRESOLVED
DS1,A4,UNAVAILABLE,TRACKER_ACTION_ALIGNMENT_UNRESOLVED
DS1,B0,UNAVAILABLE,TRACKER_ACTION_ALIGNMENT_UNRESOLVED
DS3,Full,UNAVAILABLE,TRACKER_ACTION_ALIGNMENT_UNRESOLVED
DS3,A0,UNAVAILABLE,TRACKER_ACTION_ALIGNMENT_UNRESOLVED
DS3,A1,UNAVAILABLE,TRACKER_ACTION_ALIGNMENT_UNRESOLVED
DS3,A2,UNAVAILABLE,TRACKER_ACTION_ALIGNMENT_UNRESOLVED
DS3,A3,UNAVAILABLE,TRACKER_ACTION_ALIGNMENT_UNRESOLVED
DS3,A4,UNAVAILABLE,TRACKER_ACTION_ALIGNMENT_UNRESOLVED
DS3,B0,UNAVAILABLE,TRACKER_ACTION_ALIGNMENT_UNRESOLVED
DS7,Full,UNAVAILABLE,TRACKER_ACTION_ALIGNMENT_UNRESOLVED
DS7,A0,UNAVAILABLE,TRACKER_ACTION_ALIGNMENT_UNRESOLVED
DS7,A1,UNAVAILABLE,TRACKER_ACTION_ALIGNMENT_UNRESOLVED
DS7,A2,UNAVAILABLE,TRACKER_ACTION_ALIGNMENT_UNRESOLVED
DS7,A3,UNAVAILABLE,TRACKER_ACTION_ALIGNMENT_UNRESOLVED
DS7,A4,UNAVAILABLE,TRACKER_ACTION_ALIGNMENT_UNRESOLVED
DS7,B0,UNAVAILABLE,TRACKER_ACTION_ALIGNMENT_UNRESOLVED
OS1,Full,UNAVAILABLE,TRACKER_ACTION_ALIGNMENT_UNRESOLVED
OS1,A0,UNAVAILABLE,TRACKER_ACTION_ALIGNMENT_UNRESOLVED
OS1,A1,UNAVAILABLE,TRACKER_ACTION_ALIGNMENT_UNRESOLVED
OS1,A2,UNAVAILABLE,TRACKER_ACTION_ALIGNMENT_UNRESOLVED
OS1,A3,UNAVAILABLE,TRACKER_ACTION_ALIGNMENT_UNRESOLVED
OS1,A4,UNAVAILABLE,TRACKER_ACTION_ALIGNMENT_UNRESOLVED
OS1,B0,UNAVAILABLE,TRACKER_ACTION_ALIGNMENT_UNRESOLVED
OS3,Full,UNAVAILABLE,TRACKER_ACTION_ALIGNMENT_UNRESOLVED
OS3,A0,UNAVAILABLE,TRACKER_ACTION_ALIGNMENT_UNRESOLVED
OS3,A1,UNAVAILABLE,TRACKER_ACTION_ALIGNMENT_UNRESOLVED
OS3,A2,UNAVAILABLE,TRACKER_ACTION_ALIGNMENT_UNRESOLVED
OS3,A3,UNAVAILABLE,TRACKER_ACTION_ALIGNMENT_UNRESOLVED
OS3,A4,UNAVAILABLE,TRACKER_ACTION_ALIGNMENT_UNRESOLVED
OS3,B0,UNAVAILABLE,TRACKER_ACTION_ALIGNMENT_UNRESOLVED
OS4,Full,UNAVAILABLE,TRACKER_ACTION_ALIGNMENT_UNRESOLVED
OS4,A0,UNAVAILABLE,TRACKER_ACTION_ALIGNMENT_UNRESOLVED
OS4,A1,UNAVAILABLE,TRACKER_ACTION_ALIGNMENT_UNRESOLVED
OS4,A2,UNAVAILABLE,TRACKER_ACTION_ALIGNMENT_UNRESOLVED
OS4,A3,UNAVAILABLE,TRACKER_ACTION_ALIGNMENT_UNRESOLVED
OS4,A4,UNAVAILABLE,TRACKER_ACTION_ALIGNMENT_UNRESOLVED
OS4,B0,UNAVAILABLE,TRACKER_ACTION_ALIGNMENT_UNRESOLVED
